,word,encodec Encodec,Encodec Mel,w2v
26,woven,"['warm', 'warm', 'warm', 'ball', 'mood']","['womb', 'one', 'one', 'one', 'one']","['womb', 'wave', 'rudely', 'wave', 'ward']"
27,darker,"['our', 'our', 'our', 'our', 'our']","['our', 'our', 'our', 'our', 'our']","['dark', 'dark', 'dark', 'dark', 'dark']"
28,countenanced,"['softness', 'son', 'son', 'tent', 'some']","['since', 'since', 'since', 'since', 'since']","['discontented', 'saxons', 'chiselled', 'canst', 'senseless']"
29,meddle,"['mating', 'warning', 'warrior', 'raw', 'anywhere']","['anywhere', 'awe', 'mating', 'our', 'our']","['model', 'battle', 'awls', 'bottle', 'hull']"
30,watcher,"['george', 'george', 'george', 'clarke', 'queried']","['her', 'her', 'her', 'her', 'her']","['water', 'water', 'water', 'water', 'water']"
31,divides,"['regards', 'robber', 'dollars', 'of', 'of']","['by', 'by', 'by', 'by', 'by']","['divided', 'divided', 'divided', 'divided', 'divided']"
32,projecting,"['rushed', 'can', 'adjust', 'can', 'can']","['protect', 'protect', 'checked', 'protect', 'protecting']","['fearing', 'fearing', 'beg', 'beg', 'determining']"
33,sequins,"['brazen', 'sent', 'see', 'seen', 'since']","['sense', 'spent', 'sense', 'since', 'since']","['seeks', 'seeks', 'senses', 'saints', 'since']"
34,valued,"['dog', 'ninety', 'ninety', 'bags', 'you']","['you', 'you', 'you', 'you', 'you']","['avail', 'divided', 'divided', 'divided', 'divided']"
35,ramble,"['were', 'were', 'render', 'were', 'were']","['more', 'more', 'more', 'more', 'more']","['raw', 'moulds', 'moral', 'rivalry', 'roll']"
36,dusty,"['dusk', 'say', 'say', 'say', 'say']","['see', 'see', 'see', 'see', 'see']","['icy', 'saints', 'busy', 'scantily', 'dingy']"
37,archaeologist,"['are', 'are', 'are', 'daylight', 'are']","['edges', 'gloria', 'archaeology', 'elements', 'engineer']","['archaeology', 'archaeology', 'algae', 'slices', 'gazes']"
38,clan,"['man', 'man', 'man', 'man', 'man']","['man', 'man', 'man', 'man', 'man']","['man', 'man', 'man', 'man', 'man']"
39,purging,"['her', 'her', 'her', 'her', 'her']","['hers', 'heard', 'her', 'courage', 'courage']","['reigned', 'emerging', 'narrating', 'feud', 'plaiting']"
40,luxuriously,"['revered', 'nearly', 'angry', 'o', 'were']","['e', 'years', 'your', 'years', 'your']","['load', 'duties', 'variously', 'variously', 'tedious']"
41,capitol,"['solved', 'solve', 'hide', 'rolled', 'empire']","['capital', 'masses', 'capital', 'africa', 'battle']","['cowmen', 'cow', 'bath', 'helena', 'capital']"
42,noses,"['ill', 'avoided', 'his', 'his', 'was']","['is', 'is', 'is', 'is', 'is']","['roses', 'his', 'roses', 'his', 'those']"
43,barracks,"['are', 'are', 'are', 'are', 'are']","['air', 'our', 'our', 'our', 'our']","['backs', 'backs', 'terrorist', 'franks', 'terrorist']"
44,holders,"['hull', 'superiors', 'forth', 'bewildered', 'letters']","['shoulders', 'shoulders', 'shoulders', 'shoulders', 'shoulders']","['level', 'deserve', 'hide', 'forefathers', 'fantasies']"
45,diocese,"['senses', 'address', 'skies', 'seditious', 'sighed']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['justice', 'justice', 'secesh', 'discussed', 'dress']"
46,shouldst,"['she', 'she', 'she', 'she', 'she']","['should', 'should', 'should', 'should', 'should']","['should', 'should', 'should', 'should', 'should']"
47,benign,"['on', 'on', 'on', 'on', 'on']","['mine', 'mine', 'mine', 'mine', 'mine']","['line', 'man', 'man', 'nine', 'man']"
48,ebionites,"['i', 'e', 'i', 'i', 'i']","['arians', 'union', 'e', 'innocent', 'innocent']","['foetus', 'udder', 'avail', 'indians', 'onion']"
49,unhappily,"['high', 'valley', 'willing', 'tahoe', 'he']","['he', 'valley', 'he', 'valley', 'he']","['heavy', 'unhappy', 'heavy', 'happy', 'happy']"
50,trusses,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']"
51,diced,"['bay', 'ice', 'shave', 'eddy', 'mayonnaise']","['ice', 'size', 'sized', 'i', 'is']","['stage', 'stage', 'stage', 'state', 'state']"
52,beholds,"['whole', 'whole', 'whole', 'whole', 'whole']","['old', 'old', 'old', 'old', 'old']","['hold', 'hold', 'hold', 'hold', 'hold']"
53,sighted,"['seen', 'seen', 'a', 'a', 'a']","['say', 'say', 'say', 'see', 'see']","['said', 'said', 'said', 'said', 'said']"
54,rubble,"['all', 'all', 'all', 'all', 'all']","['robe', 'row', 'row', 'row', 'rolled']","['hull', 'rolled', 'ball', 'ball', 'robe']"
55,agility,"['day', 'day', 'you', 'day', 'beer']","['valley', 'valley', 'valley', 'beer', 'duty']","['deity', 'dough', 'duty', 'matting', 'beer']"
56,transition,"['dish', 'possessions', 'national', 'dish', 'in']","['possessions', 'predictions', 'in', 'traditions', 'in']","['enraged', 'his', 'his', 'his', 'mosaic']"
57,brig,"['river', 'river', 'river', 'river', 'river']","['beer', 'grave', 'grave', 'grave', 'ring']","['beer', 'breathe', 'wake', 'brethren', 'jig']"
58,signalizes,"['his', 'his', 'his', 'his', 'his']","['as', 'as', 'is', 'is', 'as']","['seize', 'seizing', 'seized', 'his', 'his']"
59,twister,"['for', 'for', 'for', 'for', 'for']","['trust', 'trust', 'trust', 'twist', 'twisted']","['twisted', 'quiver', 'twisted', 'twisted', 'boisterous']"
60,admirable,"['render', 'lot', 'are', 'are', 'all']","['are', 'are', 'are', 'are', 'are']","['moral', 'moral', 'moral', 'moral', 'moral']"
61,murmuring,"['murmur', 'room', 'raw', 'animal', 'rum']","['murmur', 'murmured', 'murmured', 'murmured', 'removing']","['murmur', 'room', 'room', 'room', 'room']"
62,cowpunchers,"['charges', 'bushes', 'finished', 'finished', 'sure']","['charges', 'tree', 'tree', 'tree', 'circles']","['spouse', 'structure', 'scriptures', 'hours', 'crawfish']"
63,jar,"['are', 'are', 'i', 'i', 'are']","['drawn', 'charge', 'are', 'drawn', 'are']","['driver', 'borrow', 'driver', 'driver', 'stars']"
64,cursing,"['tent', 'lay', 'lay', 'court', 'sharp']","['first', 'first', 'first', 'first', 'first']","['curses', 'sutter', 'secluded', 'crest', 'recovering']"
65,pipes,"['rusks', 'rusks', 'hide', 'hide', 'jetty']","['lips', 'lips', 'lips', 'lips', 'lips']","['us', 'us', 'us', 'us', 'us']"
66,jeering,"['union', 'aid', 'borrowing', 'union', 'muttering']","['yell', 'mary', 'mary', 'mary', 'carrying']","['drainage', 'mating', 'january', 'january', 'onion']"
67,perseverance,"['shared', 'share', 'are', 'are', 'error']","['ministers', 'parents', 'senses', 'endeavors', 'since']","['senses', 'descendants', 'accessories', 'aversion', 'races']"
68,ecclesiastic,"['allay', 'is', 'is', 'is', 'is']","['city', 'greatest', 'city', 'greatest', 'talent']","['phases', 'sticking', 'education', 'interest', 'exactly']"
69,jagged,"['shaded', 'mating', 'image', 'had', 'had']","['grandeur', 'rigid', 'get', 'get', 'big']","['dead', 'dead', 'dead', 'dead', 'dead']"
70,dwell,"['a', 'a', 'a', 'a', 'a']","['will', 'will', 'will', 'will', 'will']","['well', 'well', 'well', 'well', 'well']"
71,recognise,"['i', 'i', 'i', 'i', 'e']","['i', 'i', 'i', 'i', 'i']","['repairing', 'recognizes', 'presided', 'frenzy', 'exiles']"
72,tang,"['man', 'man', 'man', 'man', 'man']","['change', 'rain', 'change', 'change', 'gang']","['hang', 'sang', 'intend', 'hand', 'hand']"
73,unmeaning,"['men', 'men', 'men', 'men', 'blooming']","['mean', 'mean', 'mean', 'mean', 'mean']","['union', 'means', 'means', 'means', 'means']"
74,cayenne,"['hay', 'inn', 'lemon', 'inn', 'salmon']","['salmon', 'hay', 'ally', 'alley', 'nine']","['helen', 'ann', 'ann', 'ann', 'hay']"
75,presaged,"['chand', 'should', 'shifted', 'to', 'should']","['press', 'press', 'press', 'is', 'is']","['secesh', 'serge', 'recesses', 'betwixt', 'discouraged']"
76,zoologist,"['edges', 'gazelle', 'all', 'says', 'all']","['edges', 'is', 'is', 'is', 'is']","['gazelle', 'television', 'older', 'older', 'ambulances']"
77,intruder,"['fury', 'kneading', 'arena', 'looming', 'usually']","['knew', 'knew', 'knew', 'knew', 'knew']","['aversion', 'revered', 'cruise', 'reduce', 'serge']"
78,irrelevantly,"['organ', 'angry', 'darling', 'laurel', 'annually']","['railway', 'darling', 'silly', 'london', 'in']","['roman', 'nile', 'beloved', 'waverley', 'rumbling']"
79,amazed,"['kneading', 'man', 'man', 'man', 'man']","['age', 'age', 'age', 'age', 'age']","['age', 'wheezed', 'age', 'age', 'mating']"
80,euclid,"['ruby', 'new', 'new', 'new', 'new']","['you', 'you', 'you', 'you', 'you']","['weakly', 'view', 'teacher', 'union', 'ruling']"
81,metropolitans,"['on', 'on', 'in', 'on', 'in']","['senses', 'councils', 'system', 'ministers', 'sense']","['senses', 'metaphysical', 'sentiment', 'circles', 'on']"
82,mapped,"['man', 'man', 'man', 'man', 'man']","['men', 'men', 'men', 'men', 'men']","['hemmed', 'knocked', 'knocked', 'leaped', 'met']"
83,reconciled,"['nile', 'skies', 'rein', 'thereof', 'mosaic']","['side', 'side', 'side', 'side', 'side']","['collar', 'thaw', 'stair', 'sack', 'arouse']"
84,destination,"['in', 'in', 'in', 'in', 'in']","['nation', 'in', 'nation', 'in', 'in']","['in', 'in', 'in', 'in', 'in']"
85,lacking,"['load', 'angel', 'aid', 'narrow', 'rain']","['aching', 'aching', 'aching', 'living', 'long']","['mating', 'making', 'making', 'making', 'making']"
86,patriarch,"['rear', 'were', 'surely', 'were', 'were']","['rear', 'america', 'a', 'i', 'i']","['tartaric', 'hair', 'gifted', 'petrifying', 'kick']"
87,smoothly,"['little', 'little', 'little', 'little', 'closely']","['seize', 'savoury', 'leave', 'soup', 'slices']","['smooth', 'smooth', 'sweet', 'sweet', 'sweet']"
88,revolt,"['old', 'old', 'old', 'old', 'old']","['cruel', 'grew', 'lord', 'roof', 'rise']","['ghoul', 'will', 'will', 'mood', 'will']"
89,mittens,"['meaning', 'in', 'new', 'knew', 'in']","['in', 'in', 'in', 'in', 'in']","['aidan', 'simmonds', 'in', 'in', 'in']"
90,archbishop,"['egypt', 'egypt', 'sure', 'stirrups', 'church']","['egypt', 'egypt', 'worship', 'worship', 'worship']","['scriptures', 'bishop', 'bishop', 'turkish', 'synagogues']"
91,trade,"['tree', 'tree', 'tree', 'tree', 'tree']","['tree', 'tree', 'tree', 'tree', 'tree']","['tree', 'tree', 'tree', 'tree', 'tree']"
92,stationmaster,"['ann', 'ann', 'ann', 'mention', 'mention']","['centre', 'mention', 'mention', 'centre', 'perdition']","['facing', 'facing', 'mustache', 'estimation', 'sisters']"
93,allegorical,"['all', 'all', 'all', 'all', 'all']","['roll', 'rolled', 'rolled', 'rolled', 'rolled']","['moral', 'moral', 'moral', 'vial', 'moral']"
94,hardship,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['hide', 'sierra', 'hide', 'reward', 'restored']"
95,displacing,"['possessed', 'says', 'says', 'smithy', 'base']","['see', 'see', 'see', 'see', 'see']","['saints', 'his', 'his', 'his', 'his']"
96,abeyance,"['grant', 'grant', 'ring', 'day', 'band']","['hands', 'hands', 'man', 'man', 'hands']","['beings', 'beings', 'inn', 'inn', 'beings']"
97,prudence,"['tense', 'threatened', 'softness', 'swept', 'choose']","['senseless', 'sense', 'curtains', 'since', 'sense']","['senses', 'curtains', 'curtains', 'remonstrances', 'primroses']"
98,automaton,"['on', 'on', 'on', 'on', 'on']","['on', 'on', 'on', 'on', 'on']","['on', 'on', 'on', 'on', 'on']"
99,compassionate,"['pass', 'action', 'pass', 'pass', 'reception']","['passion', 'passion', 'passions', 'passions', 'action']","['hand', 'hand', 'hand', 'hand', 'hand']"
100,coop,"['who', 'who', 'who', 'too', 'who']","['two', 'two', 'two', 'two', 'two']","['group', 'league', 'two', 'two', 'two']"
101,decoration,"['chef', 'chef', 'chefs', 'shave', 'market']","['reputation', 'greater', 'shave', 'operation', 'creation']","['earn', 'earn', 'revered', 'direction', 'reputation']"
102,flushing,"['information', 'shop', 'shop', 'incarnation', 'footing']","['salmon', 'leash', 'sleeve', 'slush', 'him']","['flame', 'flame', 'slush', 'leash', 'fantasies']"
103,crevassed,"['forests', 'forests', 'forests', 'ah', 'high']","['cross', 'cross', 'cross', 'cross', 'cross']","['last', 'last', 'last', 'last', 'last']"
104,clews,"['use', 'use', 'flew', 'use', 'use']","['flew', 'use', 'used', 'used', 'used']","['was', 'was', 'ghoul', 'was', 'flew']"
105,toasted,"['toast', 'toast', 'toast', 'toast', 'to']","['toast', 'toast', 'toast', 'toast', 'toast']","['tuition', 'toast', 'choose', 'toast', 'attested']"
106,liberated,"['am', 'rear', 'am', 'am', 'our']","['loyally', 'rear', 'reader', 'a', 'a']","['the', 'the', 'gifted', 'the', 'the']"
107,canvas,"['us', 'us', 'us', 'us', 'us']","['us', 'us', 'us', 'us', 'us']","['franks', 'professes', 'trice', 'gazes', 'stem']"
108,dalliance,"['man', 'man', 'man', 'man', 'man']","['anywhere', 'age', 'indian', 'indian', 'age']","['mell', 'lying', 'ounces', 'gallant', 'alimony']"
109,overlooking,"['raw', 'womb', 'only', 'only', 'only']","['move', 'move', 'over', 'over', 'over']","['over', 'over', 'over', 'over', 'over']"
110,bustle,"['up', 'up', 'up', 'up', 'up']","['loss', 'also', 'also', 'must', 'must']","['bells', 'buffalo', 'robust', 'mall', 'solve']"
111,ingrained,"['in', 'in', 'in', 'in', 'in']","['in', 'in', 'end', 'in', 'in']","['in', 'in', 'in', 'in', 'in']"
112,troop,"['to', 'to', 'to', 'to', 'to']","['through', 'through', 'through', 'through', 'through']","['group', 'groups', 'group', 'through', 'through']"
113,customary,"['e', 'air', 'enables', 'air', 'ear']","['ear', 'e', 'ear', 'ear', 'ear']","['rear', 'engineer', 'very', 'very', 'very']"
114,threads,"['us', 'us', 'us', 'us', 'us']","['us', 'uns', 'us', 'us', 'us']","['dove', 'us', 'us', 'us', 'us']"
115,sharpness,"['chef', 'chef', 'chefs', 'should', 'stretched']","['sharp', 'sharp', 'sharp', 'sharp', 'sharp']","['sharp', 'sharp', 'sharp', 'sharp', 'sharp']"
116,tingled,"['the', 'the', 'the', 'the', 'the']","['mingled', 'mingled', 'mingled', 'tingle', 'mingled']","['mingled', 'mingled', 'mingled', 'mingled', 'tinkled']"
117,churchwardens,"['drawer', 'profession', 'prediction', 'ensured', 'orgy']","['church', 'church', 'church', 'church', 'words']","['ward', 'jordan', 'which', 'vengeance', 'readers']"
118,riders,"['drive', 'drive', 'ride', 'were', 'were']","['or', 'or', 'or', 'or', 'or']","['revered', 'readers', 'fervor', 'rise', 'rise']"
119,neath,"['he', 'he', 'he', 'he', 'he']","['me', 'me', 'me', 'me', 'me']","['need', 'need', 'need', 'need', 'need']"
120,swayed,"['see', 'view', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']","['gage', 'seas', 'receive', 'waste', 'fated']"
121,seriousness,"['serious', 'is', 'is', 'is', 'is']","['serious', 'as', 'is', 'assumes', 'is']","['sense', 'sutter', 'sense', 'as', 'as']"
122,nameless,"['mens', 'sins', 'in', 'learned', 'in']","['in', 'in', 'in', 'in', 'in']","['limit', 'semi', 'definitions', 'in', 'in']"
123,dramatize,"['i', 'i', 'i', 'i', 'i']","['try', 'try', 'try', 'try', 'tried']","['rout', 'wry', 'curse', 'e', 'aghast']"
124,bravery,"['warrior', 'raw', 'river', 'river', 'drawer']","['warrior', 'river', 'prairie', 'river', 'prairie']","['dormitory', 'poorer', 'beer', 'warrior', 'reveries']"
125,heel,"['lee', 'he', 'he', 'he', 'he']","['wheels', 'wheels', 'he', 'wheels', 'you']","['he', 'he', 'hew', 'he', 'he']"
126,diligent,"['admitted', 'meant', 'notice', 'length', 'eleventh']","['pigeon', 'pigeon', 'pigeon', 'edition', 'incidents']","['entity', 'descendants', 'tendency', 'minute', 'dint']"
127,spain,"['stream', 'fain', 'solved', 'masses', 'moorings']","['fain', 'hay', 'say', 'hay', 'pain']","['stream', 'pain', 'pain', 'vain', 'fantasies']"
128,glorification,"['origin', 'origin', 'share', 'morals', 'friendships']","['creation', 'creation', 'crash', 'kitchen', 'crash']","['pyncheon', 'creation', 'creation', 'pyncheon', 'shady']"
129,confirmation,"['raw', 'national', 'hunter', 'incarnation', 'warrior']","['creation', 'incarnation', 'creation', 'population', 'plantation']","['earn', 'bunch', 'murmur', 'definitions', 'glowing']"
130,partitioned,"['she', 'she', 'she', 'she', 'she']","['portion', 'portion', 'proportions', 'kitchen', 'attention']","['she', 'she', 'she', 'she', 'she']"
131,breed,"['be', 'be', 'be', 'be', 'be']","['be', 'be', 'be', 'be', 'grew']","['be', 'be', 'be', 'be', 'be']"
132,snatching,"['adjust', 'avenue', 'in', 'una', 'i']","['out', 'out', 'out', 'out', 'out']","['stretching', 'hemmed', 'letting', 'tracing', 'had']"
133,pales,"['hoe', 'rows', 'daylight', 'have', 'veil']","['held', 'held', 'held', 'held', 'avail']","['rows', 'of', 'of', 'of', 'of']"
134,denmark,"['oil', 'raw', 'oil', 'spur', 'latin']","['more', 'more', 'more', 'more', 'more']","['garlic', 'dough', 'mackerel', 'beer', 'doughnuts']"
135,bates,"['aid', 'stacy', 'stacy', 'stacy', 'stacy']","['aid', 'eats', 'be', 'eats', 'ate']","['phoebe', 'fate', 'phoebe', 'phoebe', 'fate']"
136,prancing,"['remind', 'rang', 'climax', 'second', 'fixing']","['parents', 'hands', 'constancy', 'hands', 'reference']","['facing', 'facing', 'dancing', 'existing', 'brine']"
137,boast,"['foe', 'road', 'gorge', 'gorge', 'roof']","['roof', 'roof', 'toast', 'toast', 'toast']","['post', 'toast', 'toast', 'toast', 'post']"
138,troubling,"['struggling', 'una', 'mama', 'showing', 'number']","['loving', 'inkling', 'pang', 'tingle', 'loving']","['the', 'the', 'the', 'the', 'the']"
139,bitterness,"['advance', 's', 'justin', 'stay', 'rags']","['us', 'us', 'us', 'us', 'us']","['fanatics', 'institutions', 'theirs', 'possession', 'demands']"
140,blissful,"['little', 'little', 'little', 'little', 'little']","['full', 'full', 'full', 'full', 'full']","['little', 'little', 'little', 'little', 'little']"
141,raising,"['raw', 'leading', 'engineer', 'mere', 'main']","['green', 'green', 'rain', 'range', 'range']","['facing', 'facing', 'mating', 'ringing', 'in']"
142,tirade,"['are', 'red', 'are', 'red', 'red']","['red', 'red', 'red', 'hair', 'rooted']","['revered', 'hair', 'threadbare', 'hair', 'hair']"
143,phil,"['hof', 'hof', 'whole', 'whole', 'whole']","['fill', 'filled', 'filled', 'filled', 'filled']","['of', 'of', 'of', 'of', 'of']"
144,occupying,"['my', 'my', 'my', 'my', 'my']","['off', 'off', 'off', 'off', 'off']","['higher', 'occupied', 'occupied', 'occupied', 'occupied']"
145,background,"['arms', 'unconsciously', 'asking', 'chat', 'arms']","['ground', 'round', 'ground', 'round', 'round']","['ground', 'ground', 'ground', 'ground', 'ground']"
146,uproarious,"['are', 'are', 'are', 'are', 'are']","['are', 'are', 'are', 'are', 'are']","['solve', 'rug', 'faults', 'fervor', 'logos']"
147,ramparts,"['our', 'raw', 'our', 'our', 'our']","['robber', 'robber', 'powers', 'powers', 'river']","['raw', 'ours', 'ours', 'ours', 'harbor']"
148,frontiers,"['philosophers', 'philosophers', 'reform', 'refer', 'refusing']","['tears', 'far', 'tears', 'tears', 'far']","['armies', 'fifth', 'senses', 'teacher', 'fantasies']"
149,friar,"['air', 'air', 'air', 'air', 'air']","['fire', 'fire', 'fire', 'fire', 'fire']","['fire', 'fire', 'fire', 'fire', 'fire']"
150,horace,"['horse', 'horse', 'horse', 'horse', 'horse']","['horse', 'horse', 'horse', 'horse', 'horse']","['house', 'house', 'house', 'house', 'house']"
151,banjo,"['eh', 'end', 'eh', 'end', 'emperor']","['ann', 'band', 'band', 'ann', 'ann']","['rear', 'barren', 'memorandum', 'birthday', 'band']"
152,fowl,"['law', 'oil', 'law', 'oil', 'law']","['out', 'out', 'out', 'out', 'out']","['bough', 'bough', 'cow', 'boughs', 'boughs']"
153,charwoman,"['him', 'hour', 'him', 'him', 'him']","['them', 'them', 'them', 'them', 'them']","['bun', 'them', 'reward', 'them', 'them']"
154,steely,"['sealing', 'see', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']"
155,refractory,"['re', 'your', 're', 'your', 'your']","['free', 'free', 'free', 'free', 'free']","['free', 'free', 'free', 'freed', 'for']"
156,baulked,"['all', 'all', 'all', 'all', 'all']","['walked', 'walk', 'walked', 'rock', 'walk']","['walk', 'walk', 'walk', 'walk', 'all']"
157,scarf,"['us', 'us', 'us', 'us', 'us']","['box', 'box', 'box', 'box', 'box']","['bliss', 'stock', 'breath', 'path', 'breath']"
158,thorn,"['fall', 'groan', 'moan', 'from', 'emigrant']","['full', 'full', 'four', 'form', 'form']","['warm', 'warm', 'warm', 'warm', 'warm']"
159,beach,"['she', 'she', 'she', 'she', 'she']","['reached', 'reached', 'reached', 'reached', 'reached']","['sheep', 'speech', 'speech', 'sheep', 'sheep']"
160,exasperation,"['murmured', 'murmured', 'drawer', 'information', 'vladimir']","['creation', 'creation', 'chaparral', 'adoration', 'edition']","['adoration', 'fantasies', 'extension', 'objection', 'prediction']"
161,recollect,"['upright', 'back', 'wrapped', 'out', 'guard']","['like', 'like', 'like', 'like', 'like']","['rifle', 'frolic', 'gentile', 'repairing', 'racks']"
162,demonstration,"['nazarenes', 'deny', 'romans', 'sentence', 'summons']","['imagined', 'nazarenes', 'imagined', 'arians', 'alliance']","['estimation', 'magistrate', 'magistrate', 'instrument', 'navigation']"
163,slant,"['ascent', 'i', 'signs', 'i', 'lined']","['ascent', 'lined', 'saw', 'saw', 'saw']","['lined', 'lance', 'loaf', 'ascent', 'slain']"
164,impetuously,"['ceiling', 'oil', 'assent', 'stevie', 'oil']","['kitchen', 'kitchen', 'kitchen', 'kitchen', 'ceiling']","['fantasies', 'superiors', 'centuries', 'glance', 'scriptures']"
165,arctic,"['had', 'had', 'rope', 'glared', 'had']","['loft', 'groups', 'ought', 'good', 'big']","['birket', 'fuchs', 'crept', 'kick', 'popped']"
166,nodding,"['wrung', 'line', 'line', 'lawn', 'blown']","['on', 'on', 'on', 'on', 'on']","['on', 'on', 'on', 'on', 'on']"
167,ampler,"['them', 'them', 'them', 'them', 'them']","['man', 'man', 'man', 'man', 'man']","['man', 'man', 'man', 'man', 'man']"
168,grumbled,"['pommel', 'pommel', 'haul', 'borrowing', 'wink']","['pommel', 'pommel', 'trouble', 'trouble', 'walt']","['pommel', 'pommel', 'walked', 'walked', 'walked']"
169,blackens,"['buns', 'buns', 'buns', 'buns', 'uns']","['us', 'us', 'us', 'us', 'us']","['balls', 'uns', 'bun', 'offences', 'buns']"
170,volcanic,"['antioch', 'rushing', 'common', 'wings', 'indicate']","['antioch', 'candied', 'blanket', 'cake', 'mark']","['ink', 'antioch', 'camel', 'bohemian', 'hypnotic']"
171,boiling,"['wrung', 'warm', 'london', 'dialogue', 'hollow']","['boil', 'boil', 'boil', 'boil', 'boil']","['boil', 'boil', 'boil', 'boil', 'boil']"
172,sadness,"['his', 'his', 'bags', 'his', 'his']","['sense', 'sense', 'sense', 'sense', 'sense']","['says', 'says', 'said', 'said', 'said']"
173,legitimate,"['jim', 'deliver', 'related', 'little', 'although']","['jim', 'render', 'meddling', 'deliver', 'little']","['the', 'the', 'the', 'the', 'the']"
174,arabesque,"['are', 'are', 'are', 'are', 'are']","['back', 'back', 'test', 'act', 'back']","['rout', 'bugbears', 'tiled', 'feather', 'barn']"
