,word,encodec
74,hour,"['all', 'all', 'all', 'all', 'all']"
75,away,"['way', 'way', 'way', 'way', 'way']"
76,closely,"['play', 'plays', 'play', 'play', 'ladies']"
77,finding,"['i', 'vine', 'i', 'i', 'i']"
78,letter,"['little', 'little', 'little', 'little', 'little']"
79,throne,"['known', 'known', 'known', 'known', 'known']"
80,carefully,"['her', 'her', 'her', 'her', 'her']"
81,broke,"['picked', 'creditor', 'thrilled', 'borrowed', 'dropping']"
82,cat,"['had', 'had', 'out', 'out', 'out']"
83,whether,"['lying', 'wi', 'when', 'when', 'han']"
84,know,"['manly', 'all', 'all', 'all', 'all']"
85,about,"['dog', 'gods', 'out', 'bad', 'of']"
86,any,"['newly', 'age', 'age', 'hang', 'eh']"
87,celestial,"['she', 'she', 'she', 'she', 'she']"
88,enjoy,"['join', 'manly', 'rolled', 'know', 'allowed']"
89,desire,"['our', 'eye', 'eye', 'eye', 'our']"
90,food,"['who', 'who', 'who', 'who', 'who']"
91,hide,"['high', 'eye', 'eye', 'high', 'eye']"
92,around,"['rolls', 'roll', 'rome', 'now', 'know']"
93,covered,"['reverend', 'were', 'prayer', 'were', 'prayer']"
94,than,"['in', 'in', 'in', 'in', 'in']"
95,forward,"['warm', 'more', 'more', 'more', 'more']"
96,following,"['nile', 'all', 'animal', 'all', 'all']"
97,troops,"['sioux', 'two', 'two', 'two', 'two']"
98,useful,"['all', 'all', 'all', 'all', 'all']"
99,gun,"['man', 'man', 'man', 'man', 'man']"
100,mind,"['mine', 'mine', 'reign', 'reign', 'rein']"
101,my,"['i', 'i', 'i', 'i', 'i']"
102,else,"['us', 'us', 'us', 'us', 'us']"
103,innocent,"['in', 'in', 'in', 'in', 'in']"
104,since,"['so', 'so', 'so', 'so', 'so']"
105,wine,"['alarm', 'honour', 'home', 'high', 'alarm']"
106,foolish,"['little', 'little', 'little', 'little', 'little']"
107,because,"['veins', 'as', 'as', 'as', 'as']"
108,professor,"['tilted', 'derisive', 'fasten', 'settler', 'zepplin']"
109,return,"['were', 'were', 'were', 'were', 'were']"
110,stopped,"['saw', 'saw', 'saw', 'saw', 'said']"
111,everything,"['your', 'your', 'your', 'your', 'e']"
112,them,"['a', 'a', 'a', 'a', 'a']"
113,sleep,"['see', 'see', 'see', 'see', 'see']"
114,sort,"['soon', 'soon', 'soon', 'suffocate', 'soon']"
115,imitate,"['sake', 'sake', 'had', 'pent', 'handed']"
116,months,"['on', 'on', 'on', 'on', 'on']"
117,silent,"['ally', 'iona', 'iona', 'narrow', 'eye']"
118,met,"['una', 'rumbling', 'might', 'allowed', 'might']"
119,dinner,"['her', 'her', 'her', 'her', 'her']"
120,love,"['little', 'little', 'low', 'loathe', 'little']"
121,happened,"['half', 'half', 'half', 'half', 'half']"
122,curiously,"['rear', 'grew', 'you', 'you', 'you']"
123,appeared,"['deal', 'your', 'are', 'are', 'are']"
124,magic,"['inn', 'inn', 'it', 'it', 'mane']"
125,speech,"['she', 'each', 'she', 'she', 'she']"
126,europe,"['are', 'ear', 'ear', 'were', 'ear']"
127,remarkable,"['rum', 'raw', 'more', 'more', 'more']"
128,pistols,"['us', 'us', 'us', 'us', 's']"
129,favourable,"['or', 'or', 'were', 'or', 'or']"
130,chair,"['her', 'her', 'her', 'her', 'her']"
131,colony,"['only', 'all', 'only', 'all', 'on']"
132,christie,"['critics', 'reviews', 'pit', 'features', 'treat']"
133,drawn,"['draw', 'draw', 'raw', 'worn', 'elder']"
134,clear,"['are', 'are', 'are', 'are', 'air']"
135,chop,"['chef', 'chef', 'chefs', 'jean', 'chill']"
136,cultivated,"['of', 'it', 'of', 'of', 'of']"
137,work,"['whirl', 'were', 'were', 'were', 'whirl']"
138,heart,"['her', 'her', 'her', 'her', 'her']"
139,virginia,"['in', 'room', 'room', 'room', 'room']"
140,beat,"['you', 'you', 'you', 'you', 'you']"
141,coal,"['whole', 'whole', 'whole', 'whole', 'whole']"
142,meet,"['me', 'me', 'me', 'me', 'me']"
143,london,"['in', 'in', 'in', 'in', 'in']"
144,frighten,"['for', 'rain', 'from', 'for', 'from']"
145,wood,"['will', 'would', 'would', 'would', 'were']"
146,door,"['are', 'are', 'are', 'are', 'are']"
147,cause,"['oil', 'oil', 'cell', 'ours', 'dough']"
148,some,"['insist', 'sooner', 'was', 'miss', 'was']"
149,necessary,"['i', 'masses', 'i', 'i', 'i']"
150,let,"['i', 'i', 'i', 'i', 'i']"
151,either,"['a', 'de', 'a', 'a', 'a']"
152,last,"['us', 'us', 'us', 'us', 'us']"
153,meanwhile,"['all', 'all', 'all', 'all', 'all']"
154,thin,"['in', 'in', 'in', 'in', 'in']"
155,villefort,"['reviewer', 'hall', 'rarer', 'oil', 'model']"
156,phoebe,"['be', 'be', 'be', 'be', 'be']"
157,turn,"['are', 'rear', 'are', 'her', 'her']"
158,forth,"['for', 'for', 'for', 'for', 'for']"
159,eight,"['he', 'he', 'he', 'he', 'eat']"
160,sorts,"['sharks', 'hours', 'service', 'theirs', 'us']"
161,constantly,"['foreign', 'claim', 'he', 'antioch', 'contests']"
162,jake,"['she', 'she', 'she', 'she', 'she']"
163,full,"['all', 'all', 'all', 'all', 'all']"
164,danger,"['narrow', 'reign', 'inn', 'mortar', 'litter']"
165,wrapped,"['erect', 'back', 'rod', 'erect', 'back']"
166,felt,"['fill', 'fifth', 'fourth', 'full', 'fourth']"
167,bread,"['energetic', 'piped', 'error', 'brow', 'commanded']"
168,remarkably,"['finely', 'air', 'may', 'murmur', 'may']"
169,sent,"['since', 'since', 'since', 'since', 'since']"
170,circumstances,"['is', 'is', 'is', 'is', 'is']"
171,goes,"['says', 'says', 'says', 'busy', 'says']"
172,horse,"['her', 'her', 'her', 'her', 'her']"
173,muscles,"['little', 'little', 'little', 'little', 'little']"
174,fond,"['fine', 'fine', 'foreign', 'full', 'full']"
175,lock,"['all', 'all', 'all', 'all', 'all']"
176,nearly,"['merely', 'merely', 'merely', 'merely', 'merely']"
177,front,"['e', 'frog', 'birth', 'avenue', 'wet']"
178,best,"['last', 'last', 'last', 'last', 'last']"
179,falling,"['along', 'long', 'remaining', 'e', 'along']"
180,believed,"['leave', 'leave', 'leave', 'leave', 'leave']"
181,virtues,"['you', 'you', 'you', 'you', 'you']"
182,things,"['uns', 'them', 'them', 'them', 'them']"
183,plain,"['lay', 'lay', 'e', 'same', 'same']"
184,public,"['a', 'a', 'a', 'a', 'a']"
185,should,"['she', 'she', 'she', 'she', 'she']"
186,most,"['mood', 'low', 'mood', 'miles', 'known']"
187,fuchs,"['was', 'saxons', 'faint', 'was', 'conflicts']"
188,ludicrous,"['is', 'is', 'is', 'is', 'swiss']"
189,divinity,"['attain', 'in', 'in', 'in', 'in']"
190,touched,"['she', 'should', 'should', 'she', 'fetched']"
191,box,"['garlic', 'salad', 'salad', 'salad', 'salad']"
192,save,"['say', 'say', 'say', 'say', 'say']"
193,bird,"['are', 'are', 'are', 'are', 'are']"
194,udder,"['are', 'her', 'are', 'water', 'are']"
195,cut,"['could', 'could', 'could', 'could', 'could']"
196,added,"['add', 'i', 'add', 'add', 'add']"
197,bore,"['or', 'or', 'or', 'or', 'o']"
198,death,"['hut', 'fat', 'eye', 'flat', 'had']"
199,bent,"['then', 'then', 'then', 'then', 'then']"
200,long,"['all', 'all', 'all', 'all', 'all']"
201,which,"['who', 'who', 'who', 'he', 'he']"
202,queen,"['me', 'me', 'me', 'me', 'me']"
203,honey,"['hof', 'hof', 'how', 'how', 'how']"
204,arranged,"['air', 'air', 'air', 'air', 'are']"
205,say,"['sea', 'sea', 'inn', 'fetes', 'sea']"
206,alexander,"['arrange', 'had', 'had', 'am', 'am']"
207,settled,"['told', 'told', 'civil', 'told', 'told']"
208,mountain,"['man', 'man', 'man', 'man', 'man']"
209,approached,"['shalt', 'shalt', 'fetched', 'brush', 'trip']"
210,aromatic,"['are', 'are', 'are', 'onion', 'merlin']"
211,back,"['i', 'i', 'i', 'i', 'i']"
212,out,"['i', 'i', 'all', 'eye', 'all']"
213,form,"['warm', 'warm', 'warm', 'warm', 'warm']"
214,soon,"['use', 'use', 'use', 'use', 'use']"
215,evil,"['you', 'you', 'you', 'you', 'you']"
216,side,"['valjean', 'valjean', 'valjean', 'jean', 'jean']"
217,brother,"['her', 'her', 'her', 'her', 'her']"
218,prove,"['you', 'you', 'you', 'you', 'you']"
219,middle,"['little', 'little', 'little', 'little', 'little']"
220,balls,"['us', 'us', 'us', 'us', 'us']"
221,together,"['carrie', 'ardor', 'carrie', 'carrie', 'carrie']"
222,strolled,"['roll', 'old', 'old', 'old', 'old']"
223,footsteps,"['stick', 'sticks', 'sits', 'dismissed', 'stick']"
224,superior,"['are', 'are', 'are', 'are', 'are']"
225,minutes,"['eggs', 'eggs', 'eggs', 'eggs', 'eggs']"
226,give,"['faith', 'roof', 'roof', 'roof', 'roof']"
227,rise,"['i', 'i', 'wives', 'i', 'i']"
228,remained,"['man', 'man', 'man', 'man', 'man']"
229,send,"['spent', 'citizen', 'sue', 'steady', 'net']"
230,years,"['are', 'air', 'air', 'air', 'are']"
231,office,"['loss', 'out', 'out', 'out', 'out']"
232,they,"['the', 'the', 'the', 'the', 'the']"
233,mounted,"['man', 'man', 'man', 'man', 'man']"
234,word,"['were', 'were', 'were', 'were', 'were']"
235,understand,"['ann', 'ann', 'ann', 'madge', 'madge']"
236,several,"['lovest', 'strawberry', 'swell', 'little', 'little']"
237,foot,"['it', 'it', 'it', 'it', 'it']"
238,listened,"['in', 'in', 'in', 'in', 'in']"
239,post,"['us', 'us', 'us', 'us', 'us']"
240,shoulder,"['rolls', 'all', 'all', 'all', 'all']"
241,moon,"['knew', 'knew', 'knew', 'knew', 'knew']"
242,spurred,"['for', 'for', 'for', 'for', 'for']"
243,growing,"['known', 'known', 'known', 'known', 'knows']"
244,quite,"['hope', 'hope', 'put', 'put', 'put']"
245,plant,"['anglo', 'plains', 'pang', 'plane', 'antioch']"
246,vision,"['she', 'she', 'she', 'she', 'she']"
247,remembered,"['mere', 'arrange', 'knew', 'knew', 'knew']"
248,wall,"['all', 'all', 'all', 'all', 'all']"
249,wabi,"['all', 'all', 'all', 'all', 'all']"
250,tennessee,"['medicine', 'species', 'a', 'to', 'to']"
251,delightful,"['wall', 'island', 'all', 'yellow', 'walls']"
252,court,"['cook', 'quite', 'quite', 'quite', 'corner']"
253,shook,"['she', 'she', 'she', 'she', 'she']"
254,mary,"['are', 'are', 'are', 'are', 'are']"
255,still,"['little', 'little', 'little', 'little', 'little']"
256,roundel,"['raw', 'more', 'wrong', 'womb', 'all']"
257,seen,"['reign', 'reign', 'reign', 'renewing', 'lean']"
258,limit,"['the', 'lay', 'the', 'the', 'the']"
259,world,"['old', 'all', 'all', 'all', 'old']"
260,shall,"['she', 'she', 'she', 'she', 'she']"
261,train,"['angry', 'reign', 'reign', 'strains', 'e']"
262,watched,"['loft', 'one', 'one', 'one', 'one']"
263,startled,"['little', 'little', 'little', 'little', 'little']"
264,bony,"['mane', 'on', 'on', 'on', 'on']"
265,every,"['are', 'are', 'are', 'you', 'are']"
266,secret,"['for', 'for', 'for', 'for', 'for']"
267,earth,"['for', 'for', 'for', 'for', 'for']"
268,perhaps,"['half', 'half', 'half', 'half', 'half']"
269,eyes,"['eye', 'eye', 'eye', 'eye', 'eye']"
270,third,"['narrowed', 'a', 'their', 'their', 'a']"
271,frequently,"['roughly', 'grief', 'mainly', 'quicker', 'forcibly']"
272,easily,"['you', 'you', 'you', 'you', 'you']"
273,meekin,"['him', 'him', 'him', 'him', 'him']"
274,mix,"['many', 'many', 'rent', 'in', 'many']"
275,would,"['with', 'with', 'with', 'with', 'with']"
276,died,"['eye', 'eye', 'eye', 'eye', 'eye']"
277,whenever,"['are', 'are', 'are', 'are', 'are']"
278,souls,"['soul', 'soul', 'soul', 'soul', 'soul']"
279,tried,"['i', 'loyal', 'i', 'i', 'i']"
280,reason,"['you', 'you', 'you', 'you', 'you']"
281,cruel,"['whole', 'ghoul', 'whole', 'whole', 'whole']"
282,told,"['hope', 'hope', 'was', 'hope', 'was']"
283,comrade,"['on', 'awe', 'on', 'on', 'on']"
284,lie,"['i', 'i', 'i', 'i', 'i']"
285,protect,"['to', 'fetch', 'to', 'to', 'to']"
286,thousand,"['volume', 'falls', 'song', 'cells', 'line']"
287,royal,"['were', 'were', 'were', 'were', 'were']"
288,twenty,"['she', 'she', 'she', 'she', 'she']"
289,cry,"['high', 'high', 'high', 'high', 'high']"
290,ordered,"['rules', 'rules', 'rules', 'wall', 'war']"
291,comrades,"['bags', 'out', 'raw', 'rhyme', 'out']"
292,layer,"['are', 'are', 'are', 'are', 'are']"
293,firing,"['e', 'daring', 'i', 'i', 'i']"
294,chief,"['she', 'she', 'she', 'she', 'she']"
295,truth,"['too', 'too', 'too', 'too', 'too']"
296,wholly,"['whole', 'whole', 'whole', 'whole', 'whole']"
297,escape,"['sticky', 'citizen', 'see', 'see', 'see']"
298,face,"['icy', 'lights', 'he', 'he', 'he']"
299,hot,"['how', 'how', 'how', 'how', 'how']"
300,salt,"['sauce', 'sauce', 'sauce', 'sauce', 'all']"
301,fancy,"['attain', 'e', 'ban', 'frenzy', 'smiling']"
302,mere,"['renewing', 'are', 'near', 'new', 'are']"
303,kept,"['could', 'could', 'could', 'could', 'could']"
304,opened,"['uncle', 'uncle', 'uncle', 'uncle', 'winters']"
305,child,"['eye', 'eye', 'eye', 'eye', 'eye']"
306,length,"['little', 'laying', 'lively', 'little', 'little']"
307,usual,"['you', 'you', 'you', 'you', 'you']"
308,nest,"['path', 'us', 'us', 'us', 'us']"
309,shadows,"['she', 'she', 'she', 'she', 'she']"
310,touching,"['should', 'should', 'should', 'should', 'should']"
311,soft,"['lost', 'lost', 'all', 'all', 'lost']"
312,fresh,"['she', 'she', 'she', 'she', 'she']"
313,wanted,"['were', 'were', 'were', 'were', 'were']"
314,net,"['endowed', 'man', 'man', 'eh', 'mad']"
315,soldier,"['union', 'cooler', 'old', 'rule', 'old']"
316,highly,"['hung', 'harry', 'how', 'harry', 'how']"
317,lobby,"['all', 'hall', 'all', 'all', 'all']"
318,use,"['you', 'you', 'you', 'you', 'you']"
319,allow,"['all', 'all', 'all', 'all', 'all']"
320,unhappy,"['hay', 'head', 'heavy', 'head', 'hay']"
321,says,"['is', 'is', 'is', 'is', 'is']"
322,been,"['in', 'in', 'in', 'in', 'in']"
323,thee,"['me', 'me', 'me', 'me', 'me']"
324,certain,"['in', 'in', 'in', 'in', 'in']"
325,through,"['the', 'the', 'the', 'the', 'the']"
326,generally,"['earlier', 'earlier', 'really', 're', 'merely']"
327,speak,"['see', 'see', 'see', 'cheeks', 'see']"
328,bring,"['green', 'green', 'manly', 'join', 'borne']"
329,guide,"['eye', 'eye', 'eye', 'odd', 'eye']"
330,social,"['sioux', 'forces', 'morsel', 'sunrise', 'choicest']"
331,guard,"['armed', 'raw', 'right', 'are', 'run']"
332,hair,"['her', 'her', 'her', 'her', 'her']"
333,showed,"['she', 'she', 'she', 'she', 'she']"
334,sending,"['in', 'in', 'in', 'in', 'in']"
335,moving,"['grown', 'end', 'ruling', 'level', 'of']"
336,sisters,"['is', 'is', 'is', 'is', 'is']"
337,gait,"['me', 'me', 'me', 'me', 'me']"
338,necessity,"['see', 'see', 'see', 'see', 'see']"
339,five,"['eye', 'eye', 'eye', 'eye', 'eye']"
340,judge,"['should', 'should', 'should', 'should', 'should']"
341,appearance,"['hand', 'mating', 'a', 'anywhere', 'hand']"
342,fowls,"['oil', 'dough', 'oil', 'flour', 'flour']"
343,according,"['guard', 'una', 'are', 'our', 'are']"
344,pounds,"['line', 'line', 'presents', 'lines', 'on']"
345,stayed,"['see', 'see', 'see', 'see', 'see']"
346,tortures,"['she', 'she', 'she', 'she', 'she']"
347,gently,"['in', 'onion', 'in', 'in', 'islands']"
348,wearing,"['worn', 'worn', 'more', 'more', 'more']"
349,secure,"['accuser', 'dare', 'shut', 'creep', 'capture']"
350,early,"['lay', 'lay', 'little', 'lay', 'little']"
351,further,"['rearward', 'forth', 'rear', 'reveal', 'arose']"
352,coast,"['us', 'us', 'us', 'us', 'us']"
353,eighteen,"['eat', 'eat', 'eat', 'eat', 'eat']"
354,fashioned,"['she', 'she', 'she', 'she', 'she']"
355,gave,"['aid', 'ease', 'gay', 'day', 'day']"
356,left,"['off', 'off', 'off', 'off', 'off']"
357,youth,"['you', 'you', 'you', 'you', 'you']"
358,end,"['name', 'name', 'name', 'name', 'name']"
359,state,"['see', 'see', 'see', 'see', 'see']"
360,general,"['were', 'row', 'were', 'were', 'were']"
361,river,"['her', 'her', 'her', 'her', 'her']"
362,mention,"['in', 'in', 'in', 'in', 'in']"
363,ago,"['roar', 'unborn', 'drawer', 'raw', 'are']"
364,handed,"['had', 'imagine', 'had', 'had', 'had']"
365,mouth,"['now', 'now', 'now', 'now', 'now']"
366,stir,"['she', 'she', 'she', 'she', 'she']"
367,giving,"['leaning', 'deemed', 'leaning', 'leaning', 'made']"
368,developed,"['level', 'of', 'of', 'of', 'of']"
369,year,"['are', 'are', 'are', 'are', 'are']"
370,gray,"['angrily', 'our', 'or', 'or', 'or']"
371,heat,"['hate', 'hate', 'he', 'tea', 'weak']"
372,swift,"['twitched', 'interpret', 'suit', 'shrug', 'ticks']"
373,taking,"['he', 'he', 'he', 'he', 'he']"
374,went,"['would', 'would', 'would', 'would', 'would']"
375,o,"['a', 'a', 'a', 'a', 'a']"
376,price,"['test', 'fresh', 'prefer', 'crown', 'bush']"
377,four,"['for', 'for', 'for', 'for', 'for']"
378,story,"['shore', 'shore', 'terro', 'owner', 'firm']"
379,sounds,"['germans', 'since', 'assistant', 'since', 'since']"
380,shut,"['she', 'she', 'she', 'she', 'she']"
381,hard,"['are', 'are', 'are', 'are', 'are']"
382,ours,"['are', 'are', 'are', 'are', 'are']"
383,friends,"['foreign', 'foreign', 'enemy', 'admired', 'follower']"
384,pure,"['you', 'you', 'you', 'you', 'you']"
385,increase,"['whose', 'whose', 'whose', 'whose', 'you']"
386,duty,"['you', 'you', 'you', 'you', 'you']"
387,treasure,"['she', 'she', 'she', 'she', 'she']"
388,week,"['would', 'would', 'would', 'would', 'would']"
389,slipped,"['she', 'she', 'she', 'she', 'she']"
390,flag,"['glad', 'glad', 'allay', 'i', 'gay']"
391,dropped,"['clock', 'clock', 'talked', 'apostle', 'apostle']"
392,leagues,"['see', 'see', 'see', 'see', 'see']"
393,except,"['paced', 'sabbath', 'expressed', 'six', 'checked']"
394,like,"['led', 'led', 'led', 'e', 'led']"
395,surprised,"['suppress', 'press', 'gather', 'bred', 'sighed']"
396,master,"['mine', 'mine', 'my', 'my', 'my']"
397,private,"['red', 'rout', 'price', 'rubbish', 'provide']"
398,these,"['you', 'you', 'you', 'you', 'you']"
399,turban,"['her', 'are', 'are', 'are', 'are']"
400,scruples,"['cells', 'sole', 'reigns', 'sole', 'useless']"
401,next,"['a', 'a', 'a', 'a', 'a']"
402,other,"['narrow', 'are', 'our', 'are', 'are']"
403,importance,"['person', 'openings', 'person', 'openings', 'bundled']"
404,rank,"['my', 'my', 'my', 'i', 'my']"
405,egg,"['day', 'day', 'day', 'day', 'day']"
406,yours,"['or', 'or', 'or', 'or', 'or']"
407,rock,"['raw', 'all', 'all', 'all', 'are']"
408,check,"['picked', 'up', 'up', 'up', 'up']"
409,desk,"['assistant', 'fancy', 'insist', 'companion', 'glance']"
410,coffee,"['off', 'off', 'off', 'off', 'off']"
411,charming,"['corner', 'surround', 'strain', 'strain', 'changed']"
412,ledge,"['led', 'led', 'led', 'little', 'little']"
413,regard,"['are', 'are', 'are', 'are', 'are']"
414,example,"['hollow', 'savoury', 'roll', 'wholesale', 'oil']"
415,entered,"['enables', 'haired', 'in', 'kneading', 'garment']"
416,wait,"['would', 'would', 'would', 'would', 'would']"
417,slaves,"['seas', 'cities', 'semi', 'allay', 'sins']"
418,grown,"['in', 'in', 'in', 'in', 'in']"
419,avenue,"['arians', 'e', 'una', 'mine', 'mine']"
420,less,"['is', 'is', 'is', 'is', 'is']"
421,gives,"['give', 'give', 'give', 'give', 'give']"
422,red,"['ban', 'led', 'ride', 'led', 'rath']"
423,thing,"['hay', 'inn', 'him', 'him', 'him']"
424,fat,"['that', 'that', 'that', 'that', 'that']"
425,horses,"['his', 'horizon', 'his', 'his', 'his']"
426,forest,"['for', 'for', 'for', 'for', 'forests']"
427,feeling,"['need', 'need', 'need', 'leaving', 'you']"
428,walked,"['were', 'were', 'were', 'were', 'were']"
429,fears,"['use', 'use', 'use', 'used', 'use']"
430,fell,"['loyally', 'rouse', 'all', 'all', 'all']"
431,forgot,"['wide', 'wide', 'are', 'are', 'are']"
432,original,"['were', 'were', 'were', 'were', 'were']"
433,old,"['all', 'all', 'all', 'all', 'all']"
434,reached,"['were', 'were', 'were', 'were', 'were']"
435,charges,"['she', 'she', 'shared', 'she', 'she']"
436,money,"['memnon', 'me', 'me', 'me', 'me']"
437,sure,"['she', 'she', 'she', 'she', 'she']"
438,vulgar,"['old', 'old', 'old', 'old', 'old']"
439,her,"['are', 'are', 'are', 'are', 'are']"
440,sat,"['alice', 'alice', 'hushed', 'out', 'esther']"
441,forgotten,"['raw', 'johnny', 'refer', 'on', 'on']"
442,disturbed,"['the', 'the', 'the', 'the', 'the']"
443,character,"['hair', 'her', 'hair', 'hair', 'her']"
444,course,"['us', 'us', 'us', 'us', 'us']"
445,saw,"['all', 'all', 'all', 'all', 'all']"
446,fellow,"['little', 'a', 'a', 'glow', 'low']"
447,true,"['she', 'you', 'you', 'you', 'you']"
448,replied,"['bred', 'wry', 'bred', 'i', 'i']"
449,least,"['speaks', 'assistant', 'seats', 'speak', 'fling']"
450,reduce,"['you', 'you', 'you', 'you', 'you']"
451,pictures,"['british', 'sir', 'sir', 'sir', 'sir']"
452,moment,"['mama', 'una', 'e', 'on', 'on']"
453,number,"['known', 'indian', 'indian', 'murmur', 'indian']"
454,shaking,"['she', 'she', 'she', 'she', 'she']"
455,courage,"['loyally', 'loyal', 'proud', 'afford', 'fed']"
456,tom,"['all', 'all', 'all', 'all', 'all']"
457,by,"['i', 'i', 'i', 'i', 'i']"
458,sufficient,"['she', 'she', 'she', 'she', 'she']"
459,makers,"['reviews', 'scenes', 'pit', 'fetes', 'rings']"
460,called,"['all', 'all', 'all', 'all', 'all']"
461,already,"['are', 'are', 'are', 'are', 'are']"
462,same,"['mens', 'semi', 'sins', 'men', 'hang']"
463,buried,"['are', 'are', 'are', 'are', 'are']"
464,looking,"['do', 'do', 'do', 'do', 'do']"
465,national,"['iona', 'iona', 'iona', 'rath', 'name']"
466,daring,"['air', 'air', 'in', 'in', 'air']"
467,tin,"['candied', 'candied', 'in', 'end', 'in']"
468,people,"['pupils', 'walls', 'cool', 'walls', 'accord']"
469,ought,"['a', 'a', 'a', 'a', 'a']"
470,uncle,"['all', 'all', 'all', 'all', 'only']"
471,nations,"['she', 'she', 'she', 'she', 'she']"
472,keep,"['he', 'he', 'he', 'he', 'he']"
473,more,"['were', 'were', 'were', 'were', 'were']"
474,rich,"['wonderful', 'hidden', 'rolled', 'kindling', 'greatest']"
475,owing,"['all', 'all', 'all', 'all', 'all']"
476,roared,"['warm', 'raw', 'warm', 'warm', 'were']"
477,tore,"['wore', 'were', 'more', 'were', 'were']"
478,white,"['i', 'i', 'i', 'i', 'i']"
479,christian,"['she', 'she', 'she', 'she', 'she']"
480,very,"['i', 'i', 'i', 'i', 'i']"
