,word,encodec ec,encodec mel,w2v
36,witness,"['in', 'in', 'in', 'in', 'in']","['assassin', 'semblance', 'at', 'at', 'at']","['this', 'this', 'this', 'this', 'this']"
37,yield,"['year', 'you', 'you', 'year', 'you']","['year', 'you', 'you', 'year', 'you']","['ewes', 'lean', 'lean', 'ewes', 'tea']"
38,heidelberg,"['garlic', 'hours', 'wine', 'oil', 'wine']","['oil', 'dog', 'garlic', 'dog', 'oil']","['hide', 'hide', 'level', 'garlic', 'dog']"
39,remote,"['row', 'moan', 'among', 'noon', 'growling']","['room', 'moan', 'room', 'room', 'room']","['row', 'root', 'row', 'aroma', 'rome']"
40,suggestions,"['mischievous', 'secesh', 'shaken', 'savage', 'sylvan']","['us', 'strips', 'us', 'us', 'us']","['success', 'success', 'success', 'success', 'success']"
41,interior,"['here', 'here', 'here', 'here', 'here']","['year', 'year', 'year', 'year', 'year']","['beer', 'carrie', 'carrie', 'carrie', 'ear']"
42,reckon,"['a', 'a', 'would', 'a', 'would']","['a', 'a', 'a', 'a', 'a']","['records', 'remind', 'reverend', 'rear', 'remained']"
43,fourth,"['for', 'for', 'for', 'for', 'for']","['four', 'four', 'four', 'four', 'four']","['forth', 'forth', 'forth', 'forth', 'four']"
44,operation,"['she', 'she', 'she', 'she', 'she']","['admiration', 'alterations', 'admiration', 'age', 'chapels']","['action', 'action', 'action', 'altercation', 'action']"
45,floor,"['shore', 'war', 'war', 'shore', 'war']","['shore', 'shore', 'war', 'war', 'door']","['shore', 'door', 'door', 'door', 'war']"
46,catching,"['half', 'half', 'half', 'half', 'half']","['cash', 'cash', 'half', 'half', 'half']","['catch', 'catch', 'attaching', 'cast', 'touching']"
47,rhythm,"['mirrors', 'mirrors', 'number', 'unborn', 'bay']","['em', 'em', 'em', 'em', 'em']","['room', 'room', 'room', 'room', 'room']"
48,unable,"['le', 'e', 'ideal', 'my', 'on']","['on', 'on', 'on', 'on', 'on']","['owed', 'awe', 'able', 'blooming', 'able']"
49,pages,"['his', 'his', 'his', 'his', 'his']","['age', 'age', 'age', 'age', 'age']","['ages', 'ages', 'ages', 'age', 'ages']"
50,springs,"['us', 'us', 'us', 'us', 'us']","['things', 'things', 'things', 'things', 'things']","['sighs', 'spinning', 'offences', 'bliss', 'jars']"
51,bed,"['day', 'day', 'day', 'day', 'day']","['dead', 'dead', 'dead', 'dead', 'dead']","['beg', 'had', 'did', 'did', 'did']"
52,haughty,"['whole', 'whole', 'whole', 'whole', 'whole']","['whole', 'whole', 'whole', 'whole', 'whole']","['whole', 'whole', 'whole', 'whole', 'whole']"
53,kind,"['handed', 'on', 'line', 'on', 'on']","['time', 'time', 'time', 'time', 'time']","['hand', 'hand', 'hand', 'hand', 'hand']"
54,holds,"['whole', 'whole', 'whole', 'whole', 'all']","['old', 'old', 'old', 'old', 'old']","['hold', 'hold', 'hold', 'hold', 'hold']"
55,found,"['on', 'on', 'on', 'on', 'on']","['wound', 'wound', 'wound', 'fall', 'fall']","['balls', 'mom', 'alley', 'dough', 'glance']"
56,wert,"['were', 'were', 'were', 'were', 'were']","['were', 'were', 'were', 'were', 'were']","['were', 'were', 'were', 'were', 'were']"
57,asleep,"['lily', 'lily', 'sleeping', 'sleeps', 'jetty']","['sleep', 'sleep', 'sleep', 'sleep', 'sleep']","['sleep', 'sleep', 'sleep', 'sleep', 'sleep']"
58,throughout,"['profound', 'prop', 'raw', 'more', 'womb']","['through', 'through', 'through', 'through', 'through']","['out', 'out', 'out', 'out', 'out']"
59,october,"['are', 'are', 'are', 'are', 'are']","['motive', 'later', 'our', 'later', 'are']","['rug', 'hour', 'hour', 'hour', 'hour']"
60,fort,"['for', 'for', 'for', 'for', 'for']","['for', 'for', 'for', 'for', 'for']","['four', 'four', 'four', 'four', 'four']"
61,corridor,"['her', 'her', 'her', 'her', 'her']","['corner', 'corner', 'george', 'corner', 'george']","['quarter', 'quarter', 'quarter', 'quarter', 'quarter']"
62,words,"['air', 'roar', 'were', 'whirl', 'whirl']","['word', 'word', 'word', 'word', 'word']","['word', 'word', 'word', 'word', 'word']"
63,campaign,"['man', 'man', 'man', 'man', 'ann']","['man', 'man', 'man', 'man', 'man']","['pane', 'pane', 'pan', 'man', 'man']"
64,am,"['him', 'him', 'him', 'him', 'him']","['a', 'a', 'a', 'a', 'a']","['him', 'them', 'them', 'them', 'him']"
65,plan,"['end', 'indian', 'end', 'indian', 'indian']","['plain', 'plain', 'plain', 'plain', 'plain']","['plain', 'plain', 'plain', 'plain', 'plain']"
66,instinct,"['indian', 'indian', 'mating', 'indian', 'indian']","['singing', 'age', 'age', 'plains', 'plains']","['in', 'in', 'in', 'in', 'ending']"
67,too,"['two', 'two', 'two', 'two', 'two']","['two', 'two', 'two', 'two', 'two']","['two', 'two', 'two', 'two', 'two']"
68,distinctive,"['his', 'is', 'indians', 'his', 'his']","['did', 'did', 'did', 'did', 'did']","['the', 'the', 'the', 'the', 'the']"
69,merely,"['a', 'a', 'a', 'were', 'a']","['may', 'may', 'may', 'may', 'may']","['in', 'in', 'in', 'in', 'in']"
70,abundant,"['in', 'in', 'blended', 'in', 'mountain']","['mc', 'bend', 'and', 'and', 'environment']","['them', 'bun', 'them', 'them', 'them']"
71,stored,"['door', 'door', 'hoard', 'door', 'door']","['door', 'door', 'door', 'door', 'door']","['dough', 'sward', 'door', 'door', 'shore']"
72,occasion,"['aid', 'year', 'hay', 'seeing', 'seeing']","['nation', 'nation', 'nation', 'age', 'age']","['vindicated', 'maiden', 'aidan', 'deity', 'enraged']"
73,heaven,"['head', 'head', 'head', 'head', 'hand']","['him', 'him', 'him', 'him', 'him']","['man', 'man', 'man', 'man', 'man']"
74,busy,"['be', 'be', 'be', 'be', 'be']","['be', 'be', 'be', 'be', 'be']","['be', 'be', 'be', 'be', 'be']"
75,existence,"['is', 'is', 'is', 'is', 'is']","['is', 'is', 'is', 'is', 'is']","['saxons', 'is', 'is', 'is', 'is']"
76,right,"['are', 'are', 'write', 'are', 'are']","['great', 'great', 'great', 'great', 'great']","['rites', 'matron', 'fantasies', 'write', 'burnt']"
77,woollen,"['womb', 'will', 'reverend', 'will', 'lined']","['will', 'will', 'will', 'will', 'will']","['little', 'little', 'little', 'little', 'little']"
78,conjecture,"['she', 'she', 'she', 'she', 'she']","['capture', 'gifted', 'check', 'muster', 'coach']","['features', 'gifted', 'speech', 'continue', 'statues']"
79,do,"['you', 'you', 'you', 'new', 'you']","['did', 'did', 'did', 'did', 'did']","['did', 'did', 'did', 'did', 'did']"
80,literal,"['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']"
81,after,"['i', 'i', 'i', 'i', 'at']","['path', 'her', 'her', 'path', 'her']","['daughter', 'africa', 'daughter', 'daughter', 'daughter']"
82,doll,"['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']","['all', 'all', 'all', 'all', 'all']"
83,slave,"['see', 'see', 'see', 'sins', 'see']","['see', 'see', 'see', 'see', 'see']","['swim', 'sole', 'safely', 'masses', 'sofa']"
84,gets,"['could', 'could', 'could', 'could', 'could']","['if', 'if', 'if', 'if', 'if']","['get', 'get', 'get', 'get', 'get']"
85,open,"['in', 'in', 'in', 'in', 'in']","['o', 'owe', 'o', 'o', 'in']","['opened', 'opened', 'opened', 'opened', 'opened']"
86,magnified,"['fine', 'fine', 'fine', 'line', 'mayonnaise']","['fine', 'fine', 'matting', 'fine', 'bay']","['modified', 'fairy', 'site', 'antioch', 'union']"
87,bay,"['aid', 'they', 'they', 'they', 'they']","['aid', 'pay', 'pay', 'pay', 'pay']","['day', 'day', 'day', 'day', 'day']"
88,how,"['i', 'i', 'i', 'i', 'i']","['on', 'on', 'on', 'on', 'on']","['o', 'oh', 'oh', 'oh', 'oh']"
89,appear,"['you', 'you', 'you', 'you', 'feud']","['ear', 'ear', 'ear', 'ear', 'ear']","['appeared', 'appeared', 'appeared', 'appeared', 'appeared']"
90,hansel,"['sin', 'sail', 'hid', 'handed', 'hands']","['hands', 'hands', 'hands', 'hands', 'hands']","['somehow', 'penalties', 'has', 'thy', 'has']"
91,movements,"['move', 'move', 'his', 'was', 'his']","['zepplin', 'clump', 'and', 'and', 'and']","['symbols', 'loathe', 'sponsa', 'bones', 'sense']"
92,confusion,"['you', 'you', 'you', 'you', 'you']","['use', 'use', 'use', 'use', 'use']","['few', 'few', 'few', 'few', 'few']"
93,sublime,"['man', 'man', 'man', 'man', 'woman']","['time', 'time', 'time', 'time', 'time']","['glowing', 'line', 'nile', 'mom', 'line']"
94,what,"['while', 'while', 'while', 'he', 'while']","['with', 'with', 'with', 'with', 'with']","['all', 'while', 'while', 'while', 'all']"
95,moaning,"['bony', 'name', 'una', 'renewing', 'run']","['name', 'name', 'name', 'name', 'name']","['among', 'among', 'among', 'among', 'among']"
96,suspected,"['his', 'his', 'his', 'his', 'his']","['his', 'his', 'his', 'his', 'his']","['stated', 'disgusted', 'descend', 'said', 'said']"
97,nobody,"['genuine', 'note', 'no', 'no', 'union']","['no', 'no', 'no', 'no', 'no']","['no', 'no', 'no', 'no', 'no']"
98,exercise,"['wines', 'wines', 'wine', 'wines', 'wine']","['side', 'side', 'side', 'side', 'side']","['sighs', 'sighs', 'us', 'us', 'us']"
99,rugged,"['level', 'weary', 'road', 'wary', 'road']","['it', 'it', 'it', 'it', 'it']","['mode', 'mode', 'mode', 'mode', 'mode']"
100,unquestionably,"['pyncheon', 'owner', 'pyncheon', 'impatiently', 'connection']","['pyncheon', 'pyncheon', 'pyncheon', 'heavily', 'angrily']","['amputation', 'impatiently', 'impunity', 'perfection', 'altercation']"
101,thoughts,"['followed', 'followed', 'loft', 'thought', 'pleaded']","['thought', 'thought', 'thought', 'thought', 'thought']","['thought', 'thought', 'thought', 'thought', 'thought']"
102,decide,"['desires', 'i', 'i', 'i', 'i']","['eyes', 'eyes', 'eyes', 'eyes', 'eyes']","['sighed', 'said', 'says', 'said', 'said']"
103,advancing,"['in', 'in', 'in', 'in', 'in']","['in', 'veins', 'adventuring', 'in', 'in']","['evinced', 'evincing', 'facing', 'in', 'advantage']"
104,worse,"['were', 'were', 'were', 'were', 'were']","['word', 'word', 'word', 'word', 'word']","['worst', 'worst', 'worst', 'were', 'were']"
105,hurriedly,"['were', 'were', 'were', 'were', 'were']","['heard', 'heard', 'heard', 'heard', 'heard']","['heard', 'heard', 'heard', 'heard', 'heard']"
106,i,"['eye', 'eye', 'eye', 'eye', 'eye']","['eye', 'eye', 'eye', 'eye', 'eye']","['it', 'it', 'it', 'it', 'it']"
107,dark,"['our', 'our', 'our', 'are', 'are']","['our', 'our', 'our', 'our', 'our']","['hour', 'hour', 'hour', 'reward', 'hour']"
108,rushed,"['rush', 'raw', 'rush', 'war', 'were']","['rush', 'rush', 'rush', 'rushing', 'rushing']","['brush', 'rode', 'rode', 'rode', 'brushed']"
109,wore,"['war', 'war', 'war', 'war', 'whirr']","['war', 'war', 'war', 'war', 'war']","['war', 'war', 'war', 'war', 'war']"
110,others,"['auto', 'air', 'air', 'allay', 'air']","['other', 'other', 'other', 'other', 'other']","['other', 'other', 'other', 'other', 'other']"
111,finger,"['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']","['her', 'her', 'her', 'her', 'her']"
112,originally,"['were', 'or', 'were', 'or', 'or']","['root', 'iron', 'drearily', 'waverley', 'waverley']","['union', 'removing', 'union', 'beloved', 'moral']"
113,again,"['in', 'in', 'in', 'in', 'in']","['murmured', 'in', 'in', 'murmured', 'in']","['in', 'in', 'in', 'in', 'in']"
114,yet,"['at', 'at', 'at', 'at', 'at']","['up', 'at', 'up', 'up', 'at']","['at', 'at', 'at', 'at', 'at']"
115,twelve,"['all', 'all', 'all', 'all', 'all']","['rolled', 'rolled', 'rolled', 'rolled', 'roll']","['well', 'well', 'well', 'well', 'well']"
116,entertained,"['any', 'candied', 'candied', 'any', 'any']","['name', 'name', 'name', 'name', 'name']","['in', 'in', 'attained', 'aidan', 'in']"
117,intimate,"['indebted', 'dint', 'in', 'into', 'indistinct']","['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']"
118,voices,"['drainage', 'yours', 'falls', 'is', 'is']","['slices', 'slices', 'is', 'is', 'as']","['falls', 'forces', 'gazes', 'virtues', 'slices']"
119,happily,"['hay', 'hay', 'matter', 'tail', 'alley']","['me', 'you', 'me', 'you', 'you']","['happy', 'happy', 'happy', 'happy', 'happy']"
120,profession,"['chef', 'chef', 'shall', 'shall', 'shall']","['fresh', 'fresh', 'chef', 'fresh', 'fresh']","['chef', 'chef', 'secesh', 'procession', 'perceptions']"
121,on,"['i', 'i', 'i', 'i', 'i']","['and', 'and', 'and', 'and', 'and']","['all', 'all', 'all', 'all', 'all']"
122,dripping,"['in', 'kneading', 'during', 'looming', 'in']","['of', 'of', 'of', 'in', 'in']","['view', 'abundant', 'living', 'billowing', 'removing']"
123,boiled,"['old', 'old', 'old', 'old', 'old']","['boy', 'old', 'old', 'old', 'old']","['whirl', 'whirl', 'boil', 'boil', 'boil']"
124,sooner,"['knew', 'knew', 'knew', 'knew', 'knew']","['soon', 'soon', 'soon', 'soon', 'soon']","['soon', 'soon', 'soon', 'soon', 'soon']"
125,stared,"['pair', 'shared', 'shared', 'pair', 'she']","['hair', 'hair', 'hair', 'hair', 'haired']","['dare', 'dare', 'stair', 'dared', 'dare']"
126,retreat,"['church', 'church', 'sheep', 'creation', 'creation']","['tree', 'tree', 'tree', 'tree', 'tree']","['street', 'street', 'street', 'street', 'street']"
127,yourself,"['us', 'us', 'us', 'us', 'us']","['life', 'life', 'life', 'itself', 'itself']","['herself', 'herself', 'herself', 'herself', 'herself']"
128,spirit,"['it', 'it', 'it', 'nobleman', 'it']","['spot', 'it', 'it', 'it', 'spirits']","['fantasies', 'superiors', 'beer', 'scriptures', 'sierra']"
129,medicine,"['in', 'in', 'in', 'salmon', 'in']","['salmon', 'senses', 'listen', 'edition', 'assassin']","['pennons', 'senses', 'in', 'in', 'in']"
130,bottom,"['row', 'wrung', 'all', 'all', 'all']","['mob', 'them', 'them', 'them', 'them']","['mom', 'them', 'them', 'them', 'them']"
131,acquaintance,"['pyncheon', 'pyncheon', 'pyncheon', 'hens', 'hens']","['pyncheon', 'consequence', 'recent', 'since', 'since']","['queens', 'tendency', 'ink', 'descendants', 'contingent']"
132,wholesome,"['oil', 'home', 'home', 'home', 'home']","['whole', 'home', 'whole', 'whole', 'home']","['balls', 'bun', 'oil', 'them', 'them']"
133,desirable,"['our', 'our', 'our', 'our', 'our']","['our', 'our', 'our', 'our', 'our']","['roar', 'row', 'roared', 'bells', 'the']"
134,slightly,"['it', 'it', 'it', 'it', 'it']","['lightly', 'lightly', 'lightly', 'layer', 'likely']","['lightly', 'lightly', 'lightly', 'lightly', 'lightly']"
135,never,"['am', 'am', 'am', 'am', 'am']","['were', 'were', 'were', 'were', 'were']","['ever', 'ever', 'ever', 'ever', 'ever']"
136,light,"['little', 'little', 'little', 'little', 'little']","['life', 'life', 'life', 'life', 'life']","['laid', 'ladder', 'lie', 'lighter', 'lie']"
137,suppressing,"['rust', 'stirring', 'suppress', 'person', 'press']","['press', 'suppress', 'see', 'see', 'see']","['casus', 'pressing', 'sail', 'senseless', 'fixing']"
138,ponies,"['megaphone', 'won', 'view', 'waved', 'dive']","['e', 'pony', 'pony', 'pony', 'pony']","['armies', 'pony', 'pony', 'senses', 'clatter']"
139,older,"['loyally', 'were', 'were', 'were', 'one']","['old', 'old', 'old', 'old', 'old']","['old', 'old', 'old', 'old', 'old']"
140,liquid,"['would', 'lay', 'would', 'anglo', 'would']","['live', 'live', 'live', 'lit', 'live']","['lids', 'limit', 'waverley', 'waverley', 'wink']"
141,bye,"['eye', 'eye', 'eye', 'eye', 'eye']","['eye', 'eye', 'eye', 'eye', 'eye']","['eye', 'eye', 'eye', 'eye', 'eye']"
142,pretty,"['meeting', 'attribute', 'few', 'ruby', 'rear']","['reader', 'equally', 'rear', 'greeting', 'ruby']","['very', 'very', 'very', 'very', 'very']"
143,tie,"['i', 'i', 'i', 'i', 'i']","['i', 'i', 'i', 'i', 'i']","['i', 'i', 'i', 'i', 'i']"
144,stood,"['dead', 'it', 'said', 'dead', 'dead']","['said', 'said', 'said', 'said', 'said']","['head', 'head', 'head', 'head', 'head']"
145,philosophers,"['senses', 'metropolitan', 'loss', 'nile', 'rational']","['for', 'for', 'for', 'for', 'rath']","['fellows', 'vases', 'fervor', 'philadelphus', 'sources']"
146,going,"['known', 'known', 'known', 'only', 'only']","['winding', 'own', 'own', 'own', 'own']","['womb', 'ghoul', 'moon', 'moon', 'lined']"
147,chamber,"['here', 'here', 'here', 'here', 'here']","['dreaming', 'cream', 'cream', 'change', 'change']","['chair', 'chair', 'chair', 'chair', 'chair']"
148,having,"['i', 'i', 'i', 'i', 'i']","['and', 'and', 'and', 'and', 'and']","['have', 'have', 'have', 'have', 'have']"
149,mother,"['i', 'know', 'know', 'mine', 'oil']","['her', 'her', 'her', 'her', 'her']","['lover', 'lover', 'them', 'them', 'them']"
150,taste,"['wines', 'wines', 'hay', 'days', 'wines']","['hay', 'hay', 'base', 'day', 'base']","['fantasies', 'faced', 'mace', 'waist', 'deed']"
151,fiercely,"['she', 'she', 'she', 'shared', 'she']","['fearfully', 'shared', 'shared', 'share', 'fearful']","['seriously', 'seas', 'raged', 'pace', 'misuse']"
152,spirits,"['see', 'see', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']","['misuse', 'semi', 'consisted', 'sheds', 'seize']"
153,answer,"['her', 'row', 'her', 'car', 'her']","['sense', 'tense', 'since', 'hers', 'since']","['answers', 'answers', 'as', 'answers', 'answered']"
154,lucky,"['lay', 'lay', 'lay', 'lay', 'lay']","['e', 'avail', 'yell', 'loyally', 'key']","['likely', 'likely', 'likely', 'little', 'little']"
155,everywhere,"['order', 'are', 'are', 'are', 'are']","['rarer', 'varied', 'period', 'aware', 'yours']","['every', 'every', 'every', 'every', 'every']"
156,judgment,"['shaggy', 'in', 'buzzer', 'in', 'in']","['union', 'energy', 'image', 'edge', 'june']","['definitions', 'vengeance', 'treatment', 'gage', 'sentiment']"
157,vanity,"['me', 'me', 'me', 'me', 'me']","['me', 'me', 'me', 'me', 'me']","['mating', 'vandal', 'van', 'humanity', 'invited']"
158,log,"['led', 'all', 'iona', 'rally', 'iona']","['all', 'rath', 'long', 'all', 'long']","['law', 'law', 'law', 'law', 'law']"
159,later,"['mary', 'mary', 'mary', 'mary', 'lay']","['little', 'little', 'little', 'little', 'little']","['rolled', 'rolled', 'merlin', 'rolled', 'rolled']"
160,gladly,"['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']","['glad', 'glad', 'glad', 'gladden', 'glad']"
161,pulled,"['whole', 'old', 'whole', 'whole', 'whole']","['old', 'old', 'old', 'old', 'old']","['pull', 'put', 'put', 'put', 'put']"
162,skin,"['stevie', 'since', 'stevie', 'seen', 'see']","['see', 'see', 'see', 'see', 'see']","['matron', 'him', 'him', 'inn', 'him']"
163,ended,"['in', 'in', 'in', 'in', 'in']","['end', 'end', 'end', 'end', 'end']","['end', 'in', 'in', 'in', 'end']"
164,it,"['a', 'a', 'a', 'a', 'a']","['a', 'a', 'a', 'a', 'a']","['at', 'at', 'at', 'at', 'at']"
165,dangerous,"['ann', 'ann', 'ann', 'air', 'anywhere']","['age', 'age', 'age', 'age', 'age']","['roses', 'assiduous', 'trigger', 'frenzy', 'features']"
166,pan,"['man', 'man', 'man', 'man', 'man']","['hand', 'hand', 'hand', 'hand', 'hand']","['man', 'man', 'man', 'man', 'man']"
167,brothers,"['raw', 'other', 'other', 'other', 'other']","['rulers', 'rubbish', 'other', 'other', 'other']","['mother', 'mother', 'mother', 'mother', 'mother']"
168,clergymen,"['yours', 'drainage', 'in', 'honour', 'in']","['drainage', 'edges', 'ginger', 'treasures', 'age']","['communion', 'merlin', 'features', 'communion', 'manipulation']"
169,morality,"['enemy', 'willing', 'oil', 'raw', 'all']","['enemy', 'me', 'me', 'me', 'me']","['lean', 'moral', 'lean', 'moral', 'moral']"
170,afford,"['a', 'a', 'our', 'our', 'a']","['for', 'for', 'for', 'for', 'for']","['for', 'for', 'for', 'for', 'for']"
171,reserved,"['leisure', 'those', 'those', 'those', 'those']","['affairs', 'affairs', 'observed', 'affirm', 'desire']","['observed', 'observed', 'served', 'served', 'served']"
172,pleased,"['ease', 'deed', 'waist', 'mace', 'lean']","['ease', 'ease', 'praised', 'feast', 'deed']","['fantasies', 'deity', 'praised', 'ease', 'deed']"
173,features,"['she', 'she', 'she', 'she', 'she']","['feature', 'fairs', 'peas', 'streets', 'chiselled']","['future', 'effete', 'choose', 'feature', 'future']"
174,thirst,"['earth', 'earth', 'earth', 'ardour', 'error']","['earth', 'earth', 'earth', 'earth', 'earth']","['first', 'first', 'first', 'first', 'first']"
175,are,"['i', 'i', 'i', 'i', 'i']","['i', 'i', 'i', 'i', 'i']","['do', 'do', 'do', 'do', 'do']"
176,exalted,"['morbid', 'melancholy', 'rout', 'deadly', 'distinctly']","['his', 'his', 'his', 'his', 'his']","['icy', 'his', 'mosaic', 'his', 'gloved']"
177,doubt,"['out', 'out', 'out', 'out', 'out']","['out', 'outwit', 'out', 'out', 'out']","['out', 'out', 'out', 'out', 'out']"
178,hatred,"['idiot', 'hate', 'teacher', 'hypatia', 'hate']","['it', 'it', 'it', 'it', 'it']","['fantasies', 'matron', 'superiors', 'sierra', 'humanity']"
179,maybe,"['image', 'bending', 'men', 're', 'game']","['may', 'be', 'may', 'may', 'may']","['may', 'may', 'may', 'may', 'may']"
180,reality,"['ally', 'eye', 'iona', 'iona', 'eye']","['tree', 'you', 'you', 'you', 'you']","['me', 'me', 'me', 'me', 'me']"
181,concern,"['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'servants']","['deserted', 'summoned', 'risen', 'existing', 'pin']"
182,adorned,"['iona', 'iona', 'iona', 'una', 'annually']","['more', 'more', 'more', 'more', 'more']","['ward', 'earn', 'roar', 'reigned', 'converted']"
183,stations,"['she', 'she', 'she', 'she', 'she']","['she', 'she', 'she', 'she', 'she']","['stated', 'stayed', 'distinctions', 'ancestors', 'is']"
