,word,encodec
82,mary,"['are', 'are', 'are', 'are', 'are']"
83,increase,"['whose', 'whose', 'whose', 'whose', 'you']"
84,vision,"['she', 'she', 'she', 'she', 'she']"
85,mine,"['eye', 'eye', 'man', 'highwayman', 'man']"
86,christie,"['critics', 'reviews', 'pit', 'features', 'treat']"
87,play,"['hay', 'lane', 'savoy', 'me', 'nile']"
88,shut,"['she', 'she', 'she', 'she', 'she']"
89,voice,"['oil', 'war', 'tours', 'holgrave', 'will']"
90,meekin,"['him', 'him', 'him', 'him', 'him']"
91,leave,"['una', 'the', 'illuminated', 'the', 'lean']"
92,sat,"['alice', 'alice', 'hushed', 'out', 'esther']"
93,second,"['consisting', 'tasted', 'begins', 'begins', 'mincing']"
94,gave,"['aid', 'ease', 'gay', 'day', 'day']"
95,ill,"['aid', 'old', 'old', 'old', 'old']"
96,wabi,"['all', 'all', 'all', 'all', 'all']"
97,pouring,"['wall', 'wall', 'wall', 'warm', 'more']"
98,face,"['icy', 'lights', 'he', 'he', 'he']"
99,arrived,"['are', 'are', 'are', 'are', 'are']"
100,mere,"['renewing', 'are', 'near', 'new', 'are']"
101,box,"['garlic', 'salad', 'salad', 'salad', 'salad']"
102,walk,"['all', 'all', 'all', 'all', 'all']"
103,conduct,"['hide', 'hide', 'character', 'port', 'pampas']"
104,little,"['low', 'low', 'a', 'will', 'a']"
105,doth,"['of', 'of', 'of', 'of', 'of']"
106,miles,"['lamb', 'lamb', 'eye', 'eye', 'eye']"
107,doctor,"['raw', 'oh', 'oh', 'reverend', 'oh']"
108,lady,"['aid', 'ease', 'he', 'he', 'he']"
109,cloud,"['hall', 'bough', 'hall', 'hood', 'hide']"
110,course,"['us', 'us', 'us', 'us', 'us']"
111,salt,"['sauce', 'sauce', 'sauce', 'sauce', 'all']"
112,fell,"['loyally', 'rouse', 'all', 'all', 'all']"
113,end,"['name', 'name', 'name', 'name', 'name']"
114,hope,"['owed', 'owed', 'whole', 'whole', 'whole']"
115,purest,"['were', 'were', 'were', 'were', 'were']"
116,half,"['how', 'how', 'how', 'how', 'how']"
117,her,"['are', 'are', 'are', 'are', 'are']"
118,frequently,"['roughly', 'grief', 'mainly', 'quicker', 'forcibly']"
119,towards,"['morbid', 'glued', 'rout', 'deformed', 'raw']"
120,net,"['endowed', 'man', 'man', 'eh', 'mad']"
121,through,"['the', 'the', 'the', 'the', 'the']"
122,dish,"['shaved', 'fish', 'fish', 'fish', 'chef']"
123,sufficient,"['she', 'she', 'she', 'she', 'she']"
124,art,"['her', 'her', 'her', 'her', 'her']"
125,time,"['on', 'on', 'on', 'on', 'on']"
126,honey,"['hof', 'hof', 'how', 'how', 'how']"
127,muscles,"['little', 'little', 'little', 'little', 'little']"
128,touching,"['should', 'should', 'should', 'should', 'should']"
129,watched,"['loft', 'one', 'one', 'one', 'one']"
130,carrying,"['harry', 'harry', 'are', 'harry', 'are']"
131,seemed,"['would', 'would', 'would', 'would', 'would']"
132,eyes,"['eye', 'eye', 'eye', 'eye', 'eye']"
133,simmonds,"['wilson', 'wilsons', 'wilson', 'wilson', 'wilson']"
134,rather,"['are', 'are', 'are', 'are', 'are']"
135,things,"['uns', 'them', 'them', 'them', 'them']"
136,great,"['carrie', 'carrie', 'carrie', 'carrie', 'inn']"
137,number,"['known', 'indian', 'indian', 'murmur', 'indian']"
138,chair,"['her', 'her', 'her', 'her', 'her']"
139,death,"['hut', 'fat', 'eye', 'flat', 'had']"
140,covered,"['reverend', 'were', 'prayer', 'were', 'prayer']"
141,year,"['are', 'are', 'are', 'are', 'are']"
142,which,"['who', 'who', 'who', 'he', 'he']"
143,agreed,"['rugged', 'were', 'grunted', 'group', 'rode']"
144,red,"['ban', 'led', 'ride', 'led', 'rath']"
145,soon,"['use', 'use', 'use', 'use', 'use']"
146,hot,"['how', 'how', 'how', 'how', 'how']"
147,off,"['out', 'out', 'out', 'out', 'out']"
148,protect,"['to', 'fetch', 'to', 'to', 'to']"
149,such,"['casus', 'coast', 'helpless', 'pent', 'tide']"
150,needed,"['inn', 'inn', 'in', 'in', 'in']"
151,plain,"['lay', 'lay', 'e', 'same', 'same']"
152,youth,"['you', 'you', 'you', 'you', 'you']"
153,stir,"['she', 'she', 'she', 'she', 'she']"
154,clean,"['mean', 'mean', 'mean', 'mean', 'looming']"
155,street,"['teeth', 'teeth', 'teeth', 'tree', 'tree']"
156,importance,"['person', 'openings', 'person', 'openings', 'bundled']"
157,line,"['on', 'on', 'on', 'on', 'on']"
158,ours,"['are', 'are', 'are', 'are', 'are']"
159,ledge,"['led', 'led', 'led', 'little', 'little']"
160,approached,"['shalt', 'shalt', 'fetched', 'brush', 'trip']"
161,able,"['arrange', 'in', 'a', 'in', 'mall']"
162,quite,"['hope', 'hope', 'put', 'put', 'put']"
163,curiously,"['rear', 'grew', 'you', 'you', 'you']"
164,side,"['valjean', 'valjean', 'valjean', 'jean', 'jean']"
165,hide,"['high', 'eye', 'eye', 'high', 'eye']"
166,reached,"['were', 'were', 'were', 'were', 'were']"
167,years,"['are', 'air', 'air', 'air', 'are']"
168,rank,"['my', 'my', 'my', 'i', 'my']"
169,ordered,"['rules', 'rules', 'rules', 'wall', 'war']"
170,settled,"['told', 'told', 'civil', 'told', 'told']"
171,proved,"['who', 'post', 'quicker', 'quick', 'who']"
172,took,"['to', 'to', 'to', 'to', 'to']"
173,omitted,"['ann', 'ann', 'end', 'end', 'in']"
174,houses,"['ill', 'bel', 'eye', 'louder', 'villages']"
175,between,"['onions', 'termed', 'in', 'in', 'rooms']"
176,hills,"['hill', 'hill', 'hill', 'hill', 'hail']"
177,east,"['sea', 'sea', 'sea', 'yeast', 'sea']"
178,prepared,"['pair', 'pair', 'pair', 'are', 'her']"
179,away,"['way', 'way', 'way', 'way', 'way']"
180,low,"['loyally', 'ghoul', 'old', 'old', 'old']"
181,disagreeable,"['render', 'a', 'yard', 'a', 'withdrawn']"
182,turn,"['are', 'rear', 'are', 'her', 'her']"
183,change,"['she', 'she', 'she', 'she', 'she']"
184,plant,"['anglo', 'plains', 'pang', 'plane', 'antioch']"
185,moulds,"['hall', 'all', 'all', 'all', 'all']"
186,carriage,"['carrie', 'carrie', 'carrie', 'bridge', 'carrie']"
187,bird,"['are', 'are', 'are', 'are', 'are']"
188,some,"['insist', 'sooner', 'was', 'miss', 'was']"
189,path,"['man', 'man', 'man', 'man', 'man']"
190,hardly,"['hung', 'her', 'rear', 'her', 'her']"
191,lose,"['knew', 'knew', 'knew', 'knew', 'knew']"
192,dropped,"['clock', 'clock', 'talked', 'apostle', 'apostle']"
193,easily,"['you', 'you', 'you', 'you', 'you']"
194,judge,"['should', 'should', 'should', 'should', 'should']"
195,man,"['inn', 'inn', 'inn', 'him', 'him']"
196,battle,"['all', 'all', 'all', 'all', 'all']"
197,four,"['for', 'for', 'for', 'for', 'for']"
198,keep,"['he', 'he', 'he', 'he', 'he']"
199,slipped,"['she', 'she', 'she', 'she', 'she']"
200,roundel,"['raw', 'more', 'wrong', 'womb', 'all']"
201,chop,"['chef', 'chef', 'chefs', 'jean', 'chill']"
202,swift,"['twitched', 'interpret', 'suit', 'shrug', 'ticks']"
203,brought,"['bar', 'bred', 'right', 'rubbed', 'rubbed']"
204,thin,"['in', 'in', 'in', 'in', 'in']"
205,cottage,"['called', 'call', 'called', 'call', 'call']"
206,would,"['with', 'with', 'with', 'with', 'with']"
207,did,"['would', 'would', 'would', 'would', 'would']"
208,sure,"['she', 'she', 'she', 'she', 'she']"
209,queen,"['me', 'me', 'me', 'me', 'me']"
210,george,"['were', 'were', 'were', 'were', 'were']"
211,flag,"['glad', 'glad', 'allay', 'i', 'gay']"
212,captain,"['in', 'in', 'in', 'in', 'in']"
213,public,"['a', 'a', 'a', 'a', 'a']"
214,divided,"['of', 'of', 'of', 'of', 'of']"
215,back,"['i', 'i', 'i', 'i', 'i']"
216,child,"['eye', 'eye', 'eye', 'eye', 'eye']"
217,nineteen,"['ninety', 'ninety', 'onions', 'rhein', 'rhein']"
218,goes,"['says', 'says', 'says', 'busy', 'says']"
219,only,"['one', 'one', 'one', 'the', 'the']"
220,telecast,"['i', 'out', 'i', 'test', 'out']"
221,thee,"['me', 'me', 'me', 'me', 'me']"
222,pictish,"['she', 'she', 'she', 'she', 'she']"
223,certain,"['in', 'in', 'in', 'in', 'in']"
224,morrow,"['all', 'all', 'all', 'all', 'all']"
225,david,"['would', 'would', 'would', 'would', 'would']"
226,food,"['who', 'who', 'who', 'who', 'who']"
227,joy,"['carrie', 'carrie', 'you', 'carrie', 'you']"
